timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698529949530,433,S01_T01_Open_Home,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-2,text,true,,11170,693,4,4,http://localhost/,432,0,42
1698529949736,409,S01_T01_Open_Home,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-3,text,true,,11170,693,5,5,http://localhost/,409,0,55
1698529949933,417,S01_T01_Open_Home,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-4,text,true,,11170,693,5,5,http://localhost/,417,0,64
1698529950134,530,S01_T01_Open_Home,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-5,text,true,,11170,693,5,5,http://localhost/,529,0,181
1698529949380,1578,S01_T01_Open_Home,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-1,text,true,,11170,693,5,5,http://localhost/,1577,0,138
1698529951653,305,S01_T02_Open_Tables,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-2,text,true,,10063,907,5,5,http://localhost/tables,305,0,0
1698529952101,291,S01_T02_Open_Tables,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-1,text,true,,10063,907,5,5,http://localhost/tables,291,0,0
1698529952358,290,S01_T02_Open_Tables,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-3,text,true,,10063,907,5,5,http://localhost/tables,290,0,0
1698529952547,301,S01_T02_Open_Tables,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-4,text,true,,10063,907,5,5,http://localhost/tables,300,0,0
1698529953252,343,S01_T02_Open_Tables,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-5,text,true,,10063,907,5,5,http://localhost/tables,343,0,0
1698529953975,273,S01_T03_Open_Random_Table_Product,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-2,text,true,,9730,940,5,5,http://localhost/products/living-room-table7,269,0,0
1698529954400,275,S01_T03_Open_Random_Table_Product,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-1,text,true,,9796,940,5,5,http://localhost/products/living-room-table8,274,0,0
1698529954658,271,S01_T03_Open_Random_Table_Product,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-3,text,true,,9829,940,5,5,http://localhost/products/living-room-table6,271,0,0
1698529954852,346,S01_T03_Open_Random_Table_Product,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-4,text,true,,9769,940,5,5,http://localhost/products/living-room-table5,346,0,0
1698529955603,290,S01_T03_Open_Random_Table_Product,200,OK,S01_Add_Product_Open_Cart_Make_Checkout 1-5,text,true,,9774,940,5,5,http://localhost/products/living-room-table4,288,0,0
1698529966094,242,Add Product to Cart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Add_Product_Open_Cart_Make_Checkout 1-3,,true,,723,1018,5,5,null,0,2,103
